is_Alerted,is_Suspicious,Account_number,Transaction_date,transaction_location,transaction_amount,correspondent_bank,party_name,primary_party_account_number,debit_credit,Account_First_name,Account_Last_Name,Account_Open_date,Account_type,Account_Classification,Risk_level,Zipcode,Annual_income,citizenship_country,email,address,branch,Business_Sector,identification_number,Score1,Score2,Score3,Score4,Score5,Score6,Score7,Score,is_noncitizen
0,0,481071431,11/20/19,94138.0,86810.0,Y,Callie Stephens,373956530,Debit,Judith,Boyle,5/29/20,P-Private,S-Savings,Low,97145,50000.0,United States,nec.tempus.mauris@lectusjustoeu.edu,376-6414 Diam. St.,Independence,RESTAURANT,16651008 9730,0,0,0,1,1,0,0,2,0
0,0,481071431,11/3/19,13131.0,556.0,Y,Jack Walsh,866665098,Credit,Judith,Boyle,5/29/20,P-Private,S-Savings,Low,97145,50000.0,United States,nec.tempus.mauris@lectusjustoeu.edu,376-6414 Diam. St.,Independence,RESTAURANT,16651008 9730,0,0,0,0,0,0,0,0,0
0,0,481071431,11/7/19,31014.0,2490.0,N,Marvin Sanders,333833165,Debit,Judith,Boyle,5/29/20,P-Private,S-Savings,Low,97145,50000.0,United States,nec.tempus.mauris@lectusjustoeu.edu,376-6414 Diam. St.,Independence,RESTAURANT,16651008 9730,0,0,0,0,0,0,0,0,0
0,0,481071431,11/19/19,87141.0,3700.0,Y,Knox Richard,584609046,Debit,Judith,Boyle,5/29/20,P-Private,S-Savings,Low,97145,50000.0,United States,nec.tempus.mauris@lectusjustoeu.edu,376-6414 Diam. St.,Independence,RESTAURANT,16651008 9730,0,0,0,0,0,0,0,0,0
0,0,481071431,11/1/19,88740.0,11575.0,Y,Glenna Bryant,636260652,Credit,Judith,Boyle,5/29/20,P-Private,S-Savings,Low,97145,50000.0,United States,nec.tempus.mauris@lectusjustoeu.edu,376-6414 Diam. St.,Independence,RESTAURANT,16651008 9730,0,0,0,0,1,0,0,1,0
0,0,481071431,11/15/19,50048.0,11875.0,N,Alma Chang,630658800,Debit,Judith,Boyle,5/29/20,P-Private,S-Savings,Low,97145,50000.0,United States,nec.tempus.mauris@lectusjustoeu.edu,376-6414 Diam. St.,Independence,RESTAURANT,16651008 9730,0,0,0,0,1,0,0,1,0
0,0,481071431,11/11/19,97604.0,12150.0,Y,Cade Patton,765311439,Credit,Judith,Boyle,5/29/20,P-Private,S-Savings,Low,97145,50000.0,United States,nec.tempus.mauris@lectusjustoeu.edu,376-6414 Diam. St.,Independence,RESTAURANT,16651008 9730,0,0,0,0,1,0,0,1,0
0,0,481071431,11/16/19,48258.0,10036.0,Y,Holmes Wilson,790018331,Debit,Judith,Boyle,5/29/20,P-Private,S-Savings,Low,97145,50000.0,United States,nec.tempus.mauris@lectusjustoeu.edu,376-6414 Diam. St.,Independence,RESTAURANT,16651008 9730,0,0,0,0,1,0,0,1,0
0,0,283442463,11/19/19,38846.0,43565.0,N,Carolyn Davis,597921980,Credit,Nicholas,Reid,8/28/20,B-Business,C-Checking,High,65448,60000.0,United States,Pellentesque.habitant@magnaSed.edu,"P.O. Box 884, 1374 Nisi. Rd.",Jefferson City,Computer Store,16090723 7739,0,1,0,0,1,0,0,2,0
0,0,283442463,11/28/19,93537.0,21245.0,N,Hunter Albert,557376361,Credit,Nicholas,Reid,8/28/20,B-Business,C-Checking,High,65448,60000.0,United States,Pellentesque.habitant@magnaSed.edu,"P.O. Box 884, 1374 Nisi. Rd.",Jefferson City,Computer Store,16090723 7739,0,1,0,0,1,0,0,2,0
0,0,283442463,11/3/19,16250.0,2660.0,N,Cairo Barry,280823540,Debit,Nicholas,Reid,8/28/20,B-Business,C-Checking,High,65448,60000.0,United States,Pellentesque.habitant@magnaSed.edu,"P.O. Box 884, 1374 Nisi. Rd.",Jefferson City,Computer Store,16090723 7739,0,1,0,0,0,0,0,1,0
0,0,283442463,11/24/19,43704.0,3725.0,Y,Kieran Valencia,536208197,Debit,Nicholas,Reid,8/28/20,B-Business,C-Checking,High,65448,60000.0,United States,Pellentesque.habitant@magnaSed.edu,"P.O. Box 884, 1374 Nisi. Rd.",Jefferson City,Computer Store,16090723 7739,0,1,0,0,0,0,0,1,0
0,0,283442463,11/29/19,15519.0,11600.0,Y,Martha Hoover,712749143,Debit,Nicholas,Reid,8/28/20,B-Business,C-Checking,High,65448,60000.0,United States,Pellentesque.habitant@magnaSed.edu,"P.O. Box 884, 1374 Nisi. Rd.",Jefferson City,Computer Store,16090723 7739,0,1,0,0,1,0,0,2,0
